Company Name,Company rating,Company reviews,Company salaries,Location,Number of Employees,Industry Type,Company Description
Amazon,3.8,168.8K,201.7K,25 office locations in United States,10000+ Employees,Internet & Web Services,"All Amazon teams and businesses, from Prime delivery to AWS, are guided by four key tenets: customer obsession rather than competitor focus, passion for invention, commitment to operational excellence, and long-term thinking. We are driven by the excitement of building technologies, inventing products, and providing services that transform the way our customers live their lives and run their businesses."
Deloitte,4.1,97.2K,167.4K,23 office locations in United States,10000+ Employees,Accounting & Tax,"Think a professional services career is nothing but spreadsheets, gray suits, and corporate profits? Think again. From professional growth to pursuing your passions, careers at Deloitte come with plenty of opportunities. Our range of services and depth of resources create the potential to make an impact through most any career. Right now, our professionals are working closely with organizations that seek to enable social change, spark disruptive technologies, fund cures for diseases, implement sustainability solutions, prevent identity theft, foster inclusive cultures, enhance trust in the capital markets, and a lot more."
Target,3.6,75K,116.1K,4 office locations in United States,10000+ Employees,General Merchandise & Superstores,"Target is one of the worlds most recognized brands and one of Americas leading retailers. Serving guests at over 1,800 stores nationwide and on Target.com, we make Target our guests preferred shopping destination by offering outstanding value, inspiration, innovation and an exceptional guest experience that no other retailer can deliver. Target is committed to responsible corporate citizenship, ethical business practices, environmental stewardship and generous community support. Since 1946, we have given 5 percent of our profits back to our communities. Our goal is to work as one team to fulfill our unique brand promise to our guests, wherever and whenever they choose to shop."
McDonald's,3.5,117K,71.7K,110 N Carpenter Street,10000+ Employees,Restaurants & Cafes,"McDonalds is proud to be one of the most recognized brands in the world, with restaurants in over 100 countries and billions of customers served each year. As the global leader in the food service industry, we have a legacy of innovation and hard work that continues to drive us. Today, we are growing with velocity and are focused on modernizing our experiences, not to make a different McDonalds but to build a better McDonalds. About 80% of the restaurants are run by franchisees or affiliates."
Accenture,4.0,145.1K,53.6K,United States,10000+ Employees,Business Consulting,"Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services  all powered by the worlds largest network of Advanced Technology and Intelligent Operations centers. Our 624,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com."
IBM,4.0,103.2K,73.3K,2 office locations in United States,10000+ Employees,Information Technology Support Services,"IBM works to design, advance, and scale the technologies that define each era. Restlessly reinventing since 1911, we are one of the largest technology, consulting and research companies in the world. IBMers are agents of change  in this team, youll become a part of a historic, prestigious, and global community in which youll be respected, and your talents will have a real impact. Join our team of experts and thrive in a collaborative and friendly environment where you can bring your whole self at work. Use your skills to empower clients and partners to create something that is bigger than what any one of us could produce alone. Come and lets create together!"
Microsoft,4.4,47.8K,87.9K,34 office locations in United States,10000+ Employees,Computer Hardware Development,"Tata Consultancy Services is an IT services, consulting and business solutions organization that has been partnering with many of the worlds largest businesses in their transformation journeys for over 50 years. TCS offers a consulting-led, cognitive powered, integrated portfolio of business, technology and engineering services and solutions. This is delivered through its unique Location Independent Agile delivery model, recognized as a benchmark of excellence in software development. A part of the Tata group, India's largest multinational business group, TCS has over 528,000 of the worlds best-trained consultants in 46 countries. The company generated consolidated revenues of US $22.2 billion in the fiscal year ended March 31, 2021 and is listed on the BSE (formerly Bombay Stock Exchange) and the NSE (National Stock Exchange) in India. TCS' proactive stance on climate change and award-winning work with communities across the world have earned it a place in leading sustainability indices such as the MSCI Global Sustainability Index and the FTSE4Good Emerging Index. For more information, visit www.tcs.com"
Tata Consultancy Services,3.9,124.2K,56.5K,38 office locations in United States,10000+ Employees,Software Development,"Cognizant (NASDAQ-100: CTSH) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 230 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com. To apply for open positions, visit https://careers.cognizant.com"
Cognizant Technology Solutions,3.8,84.5K,67.3K,25 office locations in United States,10000+ Employees,Information Technology Support Services,"By bringing people together over coffee, Starbucks has become one of the worlds best-known and best-loved companies. We purchase, roast and serve award-winning coffee. We also offer Italian-style espresso beverages, cold blended beverages, delicious food, premium teas and selected compact discs through our retail stores. Working at Starbucks is a lot like working with your friends. When you work here, youre not an employee  we call ourselves partners because we believe in shared common goals and mutual success. Were dedicated to serving ethically sourced coffee, caring for the environment and giving back to the communities where we do business."
Starbucks,3.7,62.3K,67.9K,7 office locations in United States,10000+ Employees,Restaurants & Cafes,
Google,4.4,42.9K,72.7K,United States,10000+ Employees,Internet & Web Services,"Since our founding in 1998, Google has grown by leaps and bounds. Starting from two computer science students in a university dorm room, we now have over a hundred thousand employees and over one hundred offices around the world. These Googlers build products that help create opportunities for everyone, whether down the street or across the globe. So whether you want to be a part of developing innovative technology, campaigns, products or partnerships, your work here is a chance to accomplish things that matter. To learn more about our job opportunities, teams, offices, benefits and workplace culture, visit careers.google.com."
The Home Depot,3.8,45.2K,84.9K,"2455 Paces Ferry Rd. SE, Atlanta, GA, 30339",10000+ Employees,Home Furniture & Housewares Stores,"You mayve seen our stores in your neighborhood because if youre like 90% of the U.S. population, you live within 10 miles of one of our stores. Our 2,200 retail stores are an important part of our company and it takes a big behind-the-scenes team too. Lets look at some of the reasons why more than 400,000 people choose to work with us:  We are the worlds largest home improvement retailer. Our scale and resources let us have a huge impact on the world of retail and in local communities.  In addition to our stores, we have distribution centers across the country and corporate offices in several major cities. Theres a good chance your next opportunity could be right in your backyard.  We take care of our people. Competitive pay, consistent schedules, great benefits, and even pet insurance are just a few of the highlights.  Over 35,000 veterans are continuing their careers with us. We value their unique skills, and we also help military spouses maintain and grow their careers when they move.  We have an inclusive, diverse culture, and we believe in giving back. Here, you can be yourself and be part of something much bigger. Were proud to be recognized for being a great place to work by the following groups:  Forbes Best Employers for Diversity 2020  Comparably: Happiest Employees  Large Company Category and Best Companies for Work-Life Balance  Mogul Top 100 Workplaces with the Greatest D&amp;I Initiatives  Military Friendly Employer  since 2001  Forbes Best Employers for New Grads"
EY,3.9,69.8K,57.1K,United States,10000+ Employees,Accounting & Tax,"At EY, you will work with entrepreneurs, the biggest companies and entire countries to solve their most pressing challenges. We promise you an exceptional experience that is yours to build  using our opportunities, scale, technology, learning, and diverse and inclusive culture. And what you do here matters, guided by our purpose of building a better working world  for our people, for our clients and for our communities. We help digital pioneers fight data piracy, guide governments through cash flow crises, unlock new medical treatments with data analytics, and pursue high-quality audits to build trust in financial markets and business. With over 365,000 people in more than 150 countries, were one of the worlds leading professional services organizations, with four integrated service lines: Assurance, Consulting, Strategy and Transactions, and Tax. Our global reach, skills and ability to learn from different perspectives help us create positive change on a massive scale."
Apple,4.2,37.5K,82.4K,20 office locations in United States,10000+ Employees,Computer Hardware Development,"Were a diverse collective of thinkers and doers, continually reimagining whats possible to help us all do what we love in new ways. And the same innovation that goes into our products also applies to our practices  strengthening our commitment to leave the world better than we found it. This is where your work can make a difference in peoples lives. Including your own. Apple is an equal opportunity employer that is committed to inclusion and diversity. Visit apple.com/careers to learn more."
PwC,3.9,71K,50.8K,32 office locations in United States,10000+ Employees,Accounting & Tax,"Our people are powered by technology to turn todays ideas into tomorrows solutions. Learn more about how you can help organizations meet the challenges and opportunities of the US marketplace in the areas of audit, tax, consulting and products and technology. We connect people with diverse backgrounds and skillsets to solve important problems togetherfor our clients, our communities and for the world at large."
US Army,3.8,41.6K,82.1K,42 office locations in United States,10000+ Employees,National Agencies,"The US Department of the Army has its marching orders. One of the three military departments (along with the Air Force and Navy) of the US Department of Defense, the Army provides ground-based military forces to deter and fight wars and protect the security of the US. The army has more than 675,000 soldiers, including active duty soldiers (nearly 75%) and reservists (Army National Guard and Army Reserves). Army personnel are deployed in about 80 countries. The Army operates about 40 forts throughout the US and has bases in Africa, Europe, Japan, the Middle East, and South Korea."
Wells Fargo,3.7,45.2K,64.1K,25 office locations in United States,10000+ Employees,Banking & Lending,"Wells Fargo & Company (NYSE: WFC) is a leading financial services company that has approximately $1.9 trillion in assets, proudly serves one in three U.S. households and more than 10% of small businesses in the U.S. Wells Fargo is No. 41 on Fortunes 2022 rankings of Americas largest corporations. In the communities we serve, the company focuses its social impact on building a sustainable, inclusive future for all by supporting housing affordability, small business growth, financial health, and a low-carbon economy. We ranked #3 on the 2022 LinkedIn Top Companies list  and #1 among financial services companies  as the best workplace to grow your career in the U.S. For more information, visit wellsfargo.com | Twitter: @wellsfargo"
Oracle,3.9,48.1K,62.2K,30 office locations in United States,10000+ Employees,Enterprise Software & Network Solutions,"Oracle is the worlds leading provider of business software. But you probably already knew that. With a presence in over 175 countries, we are one of the biggest technology companies on the planet. What you might not know is that we are leading a cloud revolution. Were using emerging technologies like AI, machine learning, and blockchain to solve critical real-world problems. From advancing energy efficiency to reimagining online commerce, the work we do is not only transforming the world of businessits helping governments, powering nonprofits, and giving billions of people the tools they need to outpace change and make a difference."
Bank of America,4.0,37.7K,56K,25 office locations in United States,10000+ Employees,Banking & Lending,"Bank of America is one of the world's largest financial institutions, serving individuals, small- and middle-market businesses and large corporations with a full range of banking, investing, asset management and other financial and risk management products and services. The company serves approximately 56 million U.S. consumer and small business relationships. It is among the world's leading wealth management companies and is a global leader in corporate and investment banking and trading."
AT&T,3.7,38.7K,55.2K,25 office locations in United States,10000+ Employees,Telecommunications Services,"Looking for a new way to connect? Youre in the right place. We are in the business of connection  to our customers, our communities, and each other. We are invested in building strong networks, future facing technology solutions, and career opportunities that have a global impact. We want to give you 4 reasons why you should join #LifeAtATT. 1. Whether youre pursuing a career in sales, technology, or something else entirely, youre ready to connect to something bigger. 2. Weve got opportunities all over the globe to do what you love. 3. Living our values  standing for equality, pursuing excellence, and thinking big  is right in your wheelhouse. 4. You like great benefits. Ready? Its all waiting for you at att.jobs, and while youre at it check out #LifeAtATT to get the latest on how were living, working, and playing. We hope to connect with you soon!"
Lowe's Home Improvement,3.5,38.5K,56.9K,"1000 Lowe's Blvd. Mooresville, NC 28117",1001 to 5000 Employees,Home Furniture & Housewares Stores,"Lowes Companies, Inc. (NYSE: LOW) is a FORTUNE® 35 home improvement company serving approximately 19 million customers a week in the United States. With the fiscal year 2022 sales of nearly $97 billion, Lowes and its related businesses operate or service more than 1,700 home improvement and hardware stores and employ over 300,000 associates. Based in Mooresville, N.C., Lowes supports the communities it serves through programs focused on creating safe, affordable housing and helping to develop the next generation of skilled trade experts. For more information, visit Lowes.com."
UPS,3.5,32.1K,58.9K,25 office locations in United States,10000+ Employees,Taxi & Car Services,"Every day at UPS, our people are responsible for the movement of goods, funds and information in more than 200 countries and territories. As UPS has evolved from a Seattle-based bike messenger company into a multi-billion-dollar global corporation, our team has held a singular focusempowering commerce around the world. Today, UPS is the world's largest package delivery company and a leading global provider of specialized transportation and logistics services. Whether were connecting with global giants or local mom and pop businesses, our people are at work improving distribution networks and managing supply chainshelping our customers to do what they do best. UPS makes the world work better."
Qualcomm,4.1,9.6K,85.5K,16 office locations in United States,10000+ Employees,Computer Hardware Development,Qualcomm is a company of inventors designing the cutting-edge wireless technologies the world runs on.
Wipro,3.8,52.9K,44.4K,18 office locations in United States,10000+ Employees,Information Technology Support Services,"Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading technology services and consulting company focused on building innovative solutions that address clients most complex digital transformation needs. Leveraging our holistic portfolio of capabilities in consulting, design, engineering, and operations, we help clients realize their boldest ambitions and build future-ready, sustainable businesses. With over 240,000 employees and business partners across 66 countries, we deliver on the promise of helping our customers, colleagues, and communities thrive in an ever-changing world."
JPMorgan Chase & Co,4.0,22K,58.6K,United States,10000+ Employees,Banking & Lending,"JPMorgan Chase is one of the world's oldest, largest and best-known financial institutions. With a history that traces our roots to 1799 in New York City, we carry forth the innovative spirit of our heritage firms in our global operations in over 60 countries. We serve millions of customers and many of the worlds most prominent corporate, institutional, and government clients-managing assets and investments, offering business advice and strategies, and providing innovative banking solutions and services. © 2023 JPMorgan Chase & Co. All rights reserved. JPMorgan Chase is an Equal Opportunity Employer, including Disability/Veterans."
KPMG,3.8,54.6K,28.8K,14 office locations in United States,10000+ Employees,Business Consulting,"KPMG LLP, the U.S. audit, tax and advisory services firm, operates from more than 100 offices with more than 32,000 employees and partners throughout the U.S. Our purpose is to turn knowledge into value for the benefit of our clients, our people, and the capital markets. KPMG delivers a globally consistent set of multidisciplinary services based on deep industry knowledge. Our industry focus helps KPMG professionals develop a rich understanding of clients' businesses and the insight, skills, and resources required to address industry-specific issues and opportunities."
Cisco Systems,4.3,30.9K,49.7K,24 office locations in United States,10000+ Employees,Enterprise Software & Network Solutions,"#WeAreCisco, where each person is unique. We bring our talents to work as a team each day, helping power an inclusive future for all. Here's how we do it. At Cisco, we embody transformation and help our customers excel in their digital worlds. Some may think we're ""old"" (36+ years strong!) and only about hardware, but we're also a software company, a security company, a blockchain company, and an AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns, and protects. Our innovation never stops! Cisco values the perspectives and skillsets that arise from employees with diverse backgrounds. That's why Cisco is expanding the boundaries of discovering top talent by not only focusing on candidates with college degrees and experience but instead placing more emphasis on unlocking potential. As one of the leading forces in connecting the world, we understand our unique opportunity to bring communities together and create meaningful change for everyone, everywhere. That's why connecting starts within Cisco. Over 30,000 Cisconians participate in our Employee Resource Groups, called Inclusive Communities, where we network, learn to be informed allies, and help make a difference. Cisco didn't just build the Internet. We keep building it. And while our technology helps connect the unconnected, that's not where our edge comes from. It comes from our peopleunique, innovative, and diverse. Be you, with us!"
Best Buy,3.7,35.3K,46.4K,5 office locations in United States,10000+ Employees,Consumer Electronics & Appliances Stores,"At Best Buy, our purpose is to enrich lives through technology. To achieve this, over 100,000 employees provide solutions to our customers in over 1,000 locations, online, and in their homes. Were a community of courageous change-makers, ambitious collaborators, and inspiring friends. Whether its working as a Geek Squad Agent, an in-store advisor, or in our corporate office, we offer each other support and prepare for what might come next. We wake up every morning so we can do our part in shaping the future of a changing world. Together, we raise the bar for whats possible and dream up new solutions to problems weve never encountered. We master innovative skills that we didnt know were within grasp and turn everyday interactions into human connections built to last. If change motivates you, if technology inspires you  were here for you. Tomorrow works here. http://jobs.bestbuy.com"
Verizon,3.9,32K,41.1K,23 office locations in United States,10000+ Employees,Telecommunications Services,"You want more out of a career. A place to share your ideas freely  even if theyre daring or different. Where the true you can shine through. A space to create and connect with people who truly care. And where theres the flexibility to focus on the passions that matter most. Our network is built by people like you. Were a human network that reaches across the globe and works behind the scenes. We anticipate, lead, and believe that listening is where learning begins. In crisis and in celebration, we come togetherlifting up our communities and striving to make an impact to move the world forward. So, if you're fueled by purpose, and powered by persistence, explore a career with us. Here, youll discover the rigor it takes to make a difference and the fulfillment that comes with living the #NetworkLife. www.verizon.com/careers"
Intel Corporation,4.2,28.2K,44.4K,23 office locations in United States,10000+ Employees,Computer Hardware Development,"Intels mission is to shape the future of technology to help create a better future for the entire world. By pushing forward in fields like AI, analytics and cloud-to-edge technology, Intels work is at the heart of countless innovations. From major breakthroughs like self-driving cars and rebuilding the coral reefs, to things that make everyday life better like blockbuster effects and improved shopping experiences  theyre all powered by Intel technology. With a career at Intel, you have the opportunity to help make the future more wonderful for everyone. Join us."
